	@RELATION nfr

%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
% This is a PROMISE Software Engineering Repository data set made publicly
% available in order to encourage repeatable, verifiable, refutable, and/or
% improvable predictive models of software engineering.
%
% If you publish material based on PROMISE data sets then, please
% follow the acknowledgment guidelines posted on the PROMISE repository
% web page http://promisedata.org/repository .
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
% (c) 2007  Jane Cleland-Huang  jhuang@cti.depaul.edu
% This data set is distributed under the
% Creative Commons Attribution-Share Alike 3.0 License
% http://creativecommons.org/licenses/by-sa/3.0/
%
% You are free:
%
%    * to Share -- copy, distribute and transmit the work
%    * to Remix -- to adapt the work
%
% Under the following conditions:
%
% Attribution. You must attribute the work in the manner specified by
% the author or licensor (but not in any way that suggests that they endorse
% you or your use of the work).
%
% Share Alike. If you alter, transform, or build upon this work, you
% may distribute the resulting work only under the same, similar or a 
% compatible license.
%
%    * For any reuse or distribution, you must make clear to others the 
%      license terms of this work.
%    * Any of the above conditions can be waived if you get permission from 
%      the copyright holder.
%    * Apart from the remix rights granted under this license, nothing in 
%      this license impairs or restricts the author's moral rights.
%


@ATTRIBUTE ProjectID {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15}
@ATTRIBUTE RequirementText string
@ATTRIBUTE class {F,A,L,LF,MN,O,PE,SC,SE,US,FT,PO}%Check and make sure that FT and PO should be there

@DATA
16,'The solution should provide detailed context-sensitive help material for all the possible actions and scenarios on all user interfaces in the application.',O
16,'The help should be accessible to the users both in the offline and online mode',O
16,'The solution should provide an interface for the user to log any defects or enhancement requests on the application and track thereafter.',O
16,'The solution should send alerts (e.g., email, SMS) to the user if the user chooses to whenever any action has been taken on the alert',O
16,'The solution should enable the user to track the submitted defect or enhancement request.',O
16,'The solution should enable the help-desk user to view the reports on the submitted defects or enhancement requests category-wise, status-wise, and agewise.',O
16,'The support solution should be accessible to the users both from within the application and also outside the application through a browser interface.',O
16,'The System must keep an unalterable audit trail capable of automatically capturing and storing information about all the actions (create/read/update/delete) that are taken upon the critical entities (case, suspect, property,…) in the system',SE
16,'The System must keep an unalterable audit trail capable of automatically capturing and storing information about the user initiating and or carrying out the action',SE
16,'The System must keep an unalterable audit trail capable of automatically capturing and storing information about the date and time of the event.',SE
16,'The System must keep an unalterable audit trail capable of automatically capturing and storing information about administrative parameters',SE
16,'Once the audit trail functionality has been activated, the System must track events without manual intervention, and store in the audit trail information about them.',SE
16,'The System must maintain the audit trail for as long as required, which will be at least for the life of the case to which it refers.',SE
16,'The System must ensure that audit trail data is available for inspection on request, so that a specific event can be identified and all related data made accessible, and that this can be achieved by authorised external personnel who have little or no familiarity with the system.',SE
16,'The System must be able to export audit trails for specified cases (without affecting the audit trail stored by the System). This functionality can be used by external auditors who wish to examine or analyse system activity.',SE
16,'The System must be able to capture and store violations (i.e. A user’s attempts to access a case to which he is denied access), and (where violations can validly be attempted) attempted violations, of access control mechanisms.',SE
16,'The System must at a minimum be able to provide reports for actions on cases organised by case, by user and in chronological sequence.',SE
16,'The System should be able to provide reports for actions on cases organised by workstation and (where technically appropriate) by network address.',SE
16,'The System must allow the user to limit access to cases to specified users or user groups.',SE
16,'The system should provide for role-based control for the functionality within the system.',SE
16,'The System must allow a user to be a member of more than one group.',SE
16,'The System must allow only admin-users to set up user profiles and allocate users to groups.',SE
16,'The System should allow a user to stipulate which other users or groups can access cases.',SE
16,'The System must allow changes to security attributes for groups or users (such as access rights, security level, privileges, password allocation and management) to be made only by super-user.',SE
16,'If a user requests access to, or searches for, a case which he does not have the right to access, the System must provide one of the following responses (selectable at configuration time): display title and metadata, display the existence of a case but not its title or other metadata, do not display any case information or indicate its existence in any way. These options are presented in order of increasing security. Note that the requirement in the third option (i.e. the most stringent) implies that the System must not include such cases in any count of search results; this level of security is normally appropriate for cases dealing with matters such as national security.',SE
16,'If a user performs a quick or advanced search, the System must never include in the search result list any record which the user does not have the right to access.',SE
16,'If the System allows users to make unauthorised attempts to access cases, it must log these in the audit trail.',SE
16,'Any access to cases, and all other activities involving the cases and related documents or data should also need to be stored in the audit trail to ensure legal admissibility and to assist in data recovery.',SE
16,'All error messages produced by the System must be meaningful, so that they can be appropriately acted upon by the users who are likely to see them. Ideally, each error message will be accompanied by explanatory text and an indication of the action(s) which the user can take in response to the error.',US
16,'The System must employ a single set of user interface rules, or a small number of sets to provide a familiar and common look and feel for the application.',US
16,'The System must be able to display several entities (cases, suspects) simultaneously.',US
16,'The interfaces must be made customizable or user-configurable to the extent possible. (e.g., the displayed columns in the table, move, resize, modify the appearance). Such configurations must be saved in the user profile.',US
16,'The System user interface must be suitable for users with special needs; that is, compatible with specialist software that may be used and with appropriate interface guidelines',US
16,'The System must provide End User and Administrator functions which are easy to use and intuitive throughout.',US
16,'The System must allow persistent defaults for data entry where desirable. These defaults should include user-definable values, values same as previous item and values derived from context, e.g. date, file reference and user identifier',US
16,'Frequently-executed System transactions must be designed so that they can be completed with a small number of interactions (e.g. mouse clicks).',US
16,'Where the System employs a graphical user interface, it must allow users to customise it. Customisation should include, but need not be limited to the following changes: menu contents, layout of screens, use of function keys, on-screen colours, fonts and font sizes',US
16,'The user interfaces should be designed to make them user-intuitive.',US
16,'The user interfaces of the system should comply with Standard ISO 9241.',US
16,'ICT accessibility: ISO 9241-20 shall be the standard for guidance on ICT accessibility. Application user interfaces to meet its requirements and recommendations. Software accessibility ISO 9241-171 shall be the standard for guidance on software accessibility. User interfaces should meet its requirements and recommendations. Content accessibility WCAG 1.0 shall be the standard used for guidance on content accessibility. The application logo to be available on all pages as a link to the home page.',US
