	@RELATION nfr

%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
% This is a PROMISE Software Engineering Repository data set made publicly
% available in order to encourage repeatable, verifiable, refutable, and/or
% improvable predictive models of software engineering.
%
% If you publish material based on PROMISE data sets then, please
% follow the acknowledgment guidelines posted on the PROMISE repository
% web page http://promisedata.org/repository .
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
% (c) 2007  Jane Cleland-Huang  jhuang@cti.depaul.edu
% This data set is distributed under the
% Creative Commons Attribution-Share Alike 3.0 License
% http://creativecommons.org/licenses/by-sa/3.0/
%
% You are free:
%
%    * to Share -- copy, distribute and transmit the work
%    * to Remix -- to adapt the work
%
% Under the following conditions:
%
% Attribution. You must attribute the work in the manner specified by
% the author or licensor (but not in any way that suggests that they endorse
% you or your use of the work).
%
% Share Alike. If you alter, transform, or build upon this work, you
% may distribute the resulting work only under the same, similar or a 
% compatible license.
%
%    * For any reuse or distribution, you must make clear to others the 
%      license terms of this work.
%    * Any of the above conditions can be waived if you get permission from 
%      the copyright holder.
%    * Apart from the remix rights granted under this license, nothing in 
%      this license impairs or restricts the author's moral rights.
%


@ATTRIBUTE ProjectID {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21}
@ATTRIBUTE RequirementText string
@ATTRIBUTE class {F(255),A(36),L(51),LF(38),MN(19),O(69),PE(70),SC(25),SE(117),US(125),FT(10),PO(5)}%Check and make sure that FT and PO should be there

@DATA
1,'The system shall refresh the display every 60 seconds.',PE
1,'The application shall match the color of the schema set forth by Department of Homeland Security',LF
1,'If projected  the data must be readable.  On a 10x10 projection screen  90% of viewers must be able to read Event / Activity data from a viewing distance of 30',US
1,'The product shall be available during normal business hours. As long as the user has access to the client PC  the system will be available 99% of the time during the first six months of operation.',A
1,'If projected  the data must be understandable. On a 10x10 projection screen  90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100',US
1,'The product shall ensure that it can only be accessed by authorized users.  The product will be able to distinguish between authorized and unauthorized users in all access attempts',SE
1,'The product shall be intuitive and self-explanatory. : 90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.',US
1,'The product shall respond fast to keep up-to-date data in the display.',PE
1,'The system shall have a MDI form that allows for the viewing of the graph and the data table.',F
1,'The system shall display Events in a vertical table by time.',F
1,'The system shall display the Events in a graph by time.',F
1,'The system shall display Events or Activities.',F
1,'The display shall have two regions:  left 2/3 of the display is graphical  right 1/3 of the display is a data table',F
1,'The data displayed in both the nodes within the graph and the rows in the table are MSEL Summary data',F
1,'The table side of the display shall be split into 2 regions: sequential and temporal.',F
1,'The top 1/4 of the table will hold events that are to occur sequentially.',F
1,'The bottom 3/4 of the table will hold events that occur according to its relevance to current time.',F
1,'The system shall color code events according to their variance from current time.',F
1,'The system shall display data from the Sync Matrix 1.0 and Exercise Management Tool 1.0 applications',F
1,'The system shall link Events back to either the Sync Matrix 1.0 or the Exercise Managment Tool 1.0 applications for modifications.',F
1,'The system shall allow modification of the display.',F
1,'The system shall offer a display of all the Events in the exercise.',F
1,'The system shall filter data by: Venues and Key Events.',F
1,'The system shall allow a user to define the time segments',F
1,'The system shall display the local and exercise time in separate clocks',F
1,'The system shall offer the ability to pause and resume the refresh of data.',F
